Track Name,MBTI,E_I,N_S,T_F,J_P
I Love You So,INFJ,0,1,1,1
Mx. Sinister,INFJ,0,1,1,1
death bed (feat. beabadoobee & blink-182) - bonus remix,INFJ,0,1,1,1
(Online Love),INFJ,0,1,1,1
Angels Like You,INFJ,0,1,1,1
Something About You,INFJ,0,1,1,1
I Bet on Losing Dogs,INFJ,0,1,1,1
Young And Beautiful,INFJ,0,1,1,1
I Wanna Be Yours,INFJ,0,1,1,1
Colors,INFJ,0,1,1,1
Afraid,INFJ,0,1,1,1
Reflections,INFJ,0,1,1,1
Choke,INFJ,0,1,1,1
Take Me to Church,INTP,0,1,0,0
Therefore I Am,INTP,0,1,0,0
bellyache,INTP,0,1,0,0
Gasoline,INTP,0,1,0,0
Blood // Water,INTP,0,1,0,0
we fell in love in october,INTP,0,1,0,0
i wanna be your girlfriend,INTP,0,1,0,0
Foreigner's God,INTP,0,1,0,0
She,INTP,0,1,0,0
From Eden,INTP,0,1,0,0
Arsonist's Lullabye,INTP,0,1,0,0
Honey and Glass,INTP,0,1,0,0
GIRL ON TV,INTP,0,1,0,0
Little Dark Age,ENTJ,1,1,0,1
Devil Town,ENTJ,1,1,0,1
Hermit the Frog,ENTJ,1,1,0,1
Backstabber,ENTJ,1,1,0,1
Pacify Her,ENTJ,1,1,0,1
Are You Satisfied?,ENTJ,1,1,0,1
Money Power Glory,ENTJ,1,1,0,1
Bad Girls,ENTJ,1,1,0,1
All For Us - from the HBO Original Series Euphoria,ENTJ,1,1,0,1
Washing Machine Heart,ENTJ,1,1,0,1
Snap Out of It,ENTJ,1,1,0,1
My Ordinary Life,ENTJ,1,1,0,1
She's My Collar (feat. Kali Uchis),ENTJ,1,1,0,1
My Ordinary Life,ENTP,1,1,0,0
all the good girls go to hell,ENTP,1,1,0,0
Without Me,ENTP,1,1,0,0
Bloody Mary,ENTP,1,1,0,0
If U Seek Amy,ENTP,1,1,0,0
Teenagers,ENTP,1,1,0,0
Choke,ENTP,1,1,0,0
Me Too,ENTP,1,1,0,0
I Love You Like An Alcoholic,ENTP,1,1,0,0
ECHO (feat. Gumi) [dj-Jo Remix],ENTP,1,1,0,0
しかばねの踊り,ENTP,1,1,0,0
Everybody Gets High,ENTP,1,1,0,0
Judas,ENTP,1,1,0,0
